"Notes"	"Year"	"YearCode"	"State"	"StateCode"	Births	TotalPopulation	BirthRate
	"2017"	"2017"	"Arkansas"	"05"	37520	3004279	12.49
	"2017"	"2017"	"California"	"06"	471658	39536653	11.93
	"2017"	"2017"	"Colorado"	"08"	64382	5607154	11.48
	"2017"	"2017"	"Connecticut"	"09"	35221	3588184	9.82
	"2017"	"2017"	"Delaware"	"10"	10855	961939	11.28
	"2017"	"2017"	"District of Columbia"	"11"	9560	693972	13.78
	"2017"	"2017"	"Florida"	"12"	223630	20984400	10.66
	"2017"	"2017"	"Georgia"	"13"	129243	10429379	12.39
	"2017"	"2017"	"Hawaii"	"15"	17517	1427538	12.27
	"2017"	"2017"	"Idaho"	"16"	22181	1716943	12.92
	"2017"	"2017"	"Illinois"	"17"	149390	12802023	11.67
	"2017"	"2017"	"Indiana"	"18"	82170	6666818	12.33
	"2017"	"2017"	"Iowa"	"19"	38430	3145711	12.22
	"2017"	"2017"	"Kansas"	"20"	36519	2913123	12.54
	"2017"	"2017"	"Kentucky"	"21"	54752	4454189	12.29
	"2017"	"2017"	"Louisiana"	"22"	61018	4684333	13.03
	"2017"	"2017"	"Maine"	"23"	12298	1335907	9.21
	"2017"	"2017"	"Maryland"	"24"	71641	6052177	11.84
	"2017"	"2017"	"Massachusetts"	"25"	70702	6859819	10.31
	"2017"	"2017"	"Michigan"	"26"	111426	9962311	11.18
	"2017"	"2017"	"Minnesota"	"27"	68595	5576606	12.30
	"2017"	"2017"	"Mississippi"	"28"	37357	2984100	12.52
	"2017"	"2017"	"Missouri"	"29"	73034	6113532	11.95
	"2017"	"2017"	"Montana"	"30"	11799	1050493	11.23
	"2017"	"2017"	"Nebraska"	"31"	25821	1920076	13.45
	"2017"	"2017"	"Nevada"	"32"	35756	2998039	11.93
	"2017"	"2017"	"New Hampshire"	"33"	12116	1342795	9.02
	"2017"	"2017"	"New Jersey"	"34"	101250	9005644	11.24
	"2017"	"2017"	"New Mexico"	"35"	23767	2088070	11.38
	"2017"	"2017"	"New York"	"36"	229737	19849399	11.57
	"2017"	"2017"	"North Carolina"	"37"	120125	10273419	11.69
	"2017"	"2017"	"North Dakota"	"38"	10737	755393	14.21
	"2017"	"2017"	"Ohio"	"39"	136832	11658609	11.74
	"2017"	"2017"	"Oklahoma"	"40"	50214	3930864	12.77
	"2017"	"2017"	"Oregon"	"41"	43631	4142776	10.53
	"2017"	"2017"	"Pennsylvania"	"42"	137745	12805537	10.76
	"2017"	"2017"	"Rhode Island"	"44"	10638	1059639	10.04
	"2017"	"2017"	"South Carolina"	"45"	57029	5024369	11.35
	"2017"	"2017"	"South Dakota"	"46"	12134	869666	13.95
	"2017"	"2017"	"Tennessee"	"47"	81016	6715984	12.06
	"2017"	"2017"	"Texas"	"48"	382050	28304596	13.50
	"2017"	"2017"	"Utah"	"49"	48585	3101833	15.66
	"2017"	"2017"	"Vermont"	"50"	5655	623657	9.07
	"2017"	"2017"	"Virginia"	"51"	100391	8470020	11.85
	"2017"	"2017"	"Washington"	"53"	87562	7405743	11.82
	"2017"	"2017"	"West Virginia"	"54"	18675	1815857	10.28
	"2017"	"2017"	"Wisconsin"	"55"	64975	5795483	11.21
	"2017"	"2017"	"Wyoming"	"56"	6903	579315	11.92
"Total"	"2017"	"2017"			3855500	325719178	11.84
"Total"					35736611	2846274430	12.56
"---"
"Dataset: Natality, 2007-2020"
"Query Parameters:"
"Year: 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Year; State"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: Default intercensal populations for years 2007-2009"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Oct 9, 2022 12:44:10 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2020, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Oct 9, 2022 12:44:10 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"3. Birth rates and fertility rates are calculated using the following populations: The populations for year 2019 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 25, 2020; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on July 9, 2020. The"
"populations for year 2018 are from the postcensal single-race series of July 1st estimates of the resident population, released"
"by Census Bureau on June 21, 2019; and the postcensal bridged-race series of July 1st estimates of the resident population,"
"released by NCHS on June 27, 2019. The populations for year 2017 are from the postcensal single-race series of July 1st"
"estimates of the resident population, released by Census Bureau on June 21, 2018; and the postcensal bridged-race series of July"
"1st estimates of the resident population, released by NCHS on June 27, 2018. The populations for year 2016 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 22, 2017; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 26, 2017. The"
"populations for year 2015 are from the postcensal bridged-race series of July 1st estimates of the resident population, released"
"by NCHS on June 28, 2016. The populations for year 2014 are from the postcensal bridged-race series of July 1st estimates of the"
"resident population, released by NCHS on June 30, 2015. The populations for year 2013 are from the postcensal bridged-race"
"series of July 1st estimates of the resident population, released by NCHS on June 26, 2014. The populations for year 2012 are"
"from the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 13, 2013. The"
"populations for year 2011 are from the postcensal bridged-race series of July 1st estimates of the resident population, released"
"by NCHS on July 18, 2012. The populations for year 2010 are the bridged-race April 1, 2010 Census counts. The populations for"
"years 2007-2009 are from the revised intercensal bridged-race series of July 1st estimates of the resident population, released"
"by NCHS on October 26, 2012. More information: http://wonder.cdc.gov/wonder/help/Natality.html#Denominator-Population-Sources."
