,Name,State
1626,Campton Place Hotel,California
1627,Camron-Stanford House,California
1628,Canary Hotel Santa Barbara,California
1629,Candlestick Park,California
1630,Candlestick Point State Recreation Area,California
1631,Candy Cane Lane,California
1632,Cannell Trail,California
1633,Cannery Row Heritage Rail Car,California
1634,Cannery Row IMAX Theatre,California
1635,Canyon Country Store,California
1636,Capitol Park,California
1637,Capitol Records Building,California
1638,Capri Laguna Inn On The Beach,California
1639,Carey's Castle,California
1640,Caribou Wilderness,California
1641,Carlsbad Inn Beach Resort,California
1642,Carlsbad Seapointe Resort,California
1643,"Carmel Beach, California",California
1644,Carmel Lodge,California
1645,Carmel Mission Inn,California
1646,Carmel Valley Ranch,California
1647,Carmel Village Inn,California
1648,Carnegie Library,California
1649,"Carole and Barry Kaye Museum of Miniatures - Los Angeles, California Museum Now Closed",California
1650,Carousel Inn and Suites,California
1651,Carpenter Hill,California
1652,Carriage & Western Art Museum,California
1653,Carrizo Wash,California
1654,Carson Mansion,California
1655,Cartoon Art Museum,California
1656,Casa 425,California
1657,Casa Blanca Inn,California
1658,Casa De Balboa,California
1659,Casa de Estudillo,California
1660,Casa de la Guerra,California
1661,Casa de Machado y Stewart,California
1662,Casa de Sousa,California
1663,Casa del Herrero,California
1664,Casa Del Mar Hotel,California
1665,Casa del Rey Moro African Museum,California
1666,Casa Laguna Inn & Spa,California
1667,Casa Madrona Hotel & Spa,California
1668,"Casa Munras, A Larkspur Collection Hotel",California
1669,Casa Romantica Cultural Center and Gardens,California
1670,Casa Tropicana Inn,California
1671,Cascade Stables,California
1672,Casino at Jackson Rancheria,California
1673,Casino Pauma,California
1674,Castle Amusement Park,California
1675,Castle Crags State Park,California
1676,Castle Rock State Park,California
1677,Castoro Cellars,California
1678,Castro Theatre,California
1679,Catalina - Marina del Rey Flyer,California
1680,Catalina Canyon Resort & Spa,California
1681,Catamaran Resort Hotel,California
1682,Cathedral Basilica of St. Joseph,California
1683,Cathedral of Our Lady of the Angels,California
1684,Cathedral of the Blessed Sacrament,California
1685,Cathedral Range,California
1686,Cavalia,California
1687,Cavallo Point,California
1688,Cavallo Point,California
1689,Cave Train,California
1690,Caymus Vineyards,California
1691,Cedar Canyon,California
1692,Cedar Creek Falls,California
1693,"Ceja Vineyards, Napa",California
1694,Center for Marine Studies,California
1695,Central Garden,California
1696,Central Pacific Passenger Depot,California
1697,Centro Cultural de la Raze,California
1698,Cerro Gordo,California
1699,Cerro San Luis,California
1700,Cesar Chavez Park,California
1701,Chabot Space and Science Center,California
1702,Chac-Mool Contemporary Fine Arts Gallery,California
1703,Chaffee Zoological Gardens of Fresno,California
1704,Chaffin Family Orchards,California
1705,Chamberlain West Hollywood,California
1706,Chaminade Resort & Spa,California
1707,Channel Islands Harbor,California
1708,"Chardonnay Golf Club, Napa",California
1709,Charles M. Schulz Museum,California
1710,"Charles Paddock Zoo in Atascadero, California",California
1711,Chase Palm Park,California
1712,Chateau Marmont,California
1713,"Chateau Potelle, Napa",California
1714,Chateau St. Jean,California
1715,Chautauqua Playhouse,California
1716,Chiat-Day Building,California
1717,Children's Discovery Museum,California
1718,Children's Museum at the Paso Robles Volunteer Firehouse,California
1719,Children's Nature Institute,California
1720,Children's Pool,California
1721,Children's Zoo,California
1722,"Chimney Rock Winery, Napa",California
1723,China Beach,California
1724,China Camp State Park,California
1725,China Lake Naval Weapons Center,California
1726,Chinatown,California
1727,Chinatown,California
1728,Chinese Cultural Center,California
1729,Chinese Historical Society,California
1730,Chinese Historical Society of America,California
1731,Cholla Cactus Garden,California
1732,Christopher Morgan Galleries,California
1733,Chula Vista Nature Center,California
1734,Chumash Painted Cove State Historic Park,California
1735,Church of St. John Coltrane,California
1736,Cimarron Golf Club,California
1737,Cinnabar Hills Golf Club,California
1738,Cinnabar Theater,California
1739,Circle Bar B Guest Ranch,California
1740,Circus Disco and Arena,California
1741,Cirrus Gallery,California
1742,Citigroup Center (444 Flower Building),California
1743,City Beach,California
1744,City Garage Theatre,California
1745,City Lights Booksellers,California
1746,City Segway Tours,California
1747,City Water Intake Facility,California
1748,Civic Center,California
1749,Civic Center,California
1750,Claiborne & Churchill Winery,California
1751,Claire de Lune Coffee Lounge,California
1752,Clairmont Farms,California
1753,Claremont Museum of Art,California
1754,Claremont Oak Club and Spa,California
1755,Clarion Hotel,California
1756,Clarke Historical Museum,California
1757,Cleveland National Forest,California
1758,Cliff House,California
1759,Cliff Lake,California
1760,Clift Hotel San Francisco,California
1761,Cline Cellars,California
1762,Clos Du Val Winery,California
1763,Cloverleaf Ranch,California
1764,Club Quarters San Francisco,California
1765,Club Sevilla,California
1766,Coachella Valley Preserve,California
1767,Coast to Crest Trail,California
1768,Coastview Inn,California
1769,Cobb Mountain,California
1770,Cobb's Comedy Club,California
1771,Coca-Cola Building,California
1772,Codfish Creek Trail,California
1773,Coit Tower,California
1774,Cold Spring,California
1775,College Cove,California
1776,College of the Desert Street Fair,California
1777,Colorado Boulevard,California
1778,Colton Hall Museum Monterey,California
1779,Columbia State Historic Park,California
1780,Columbus Avenue,California
1781,Columns of the Giants,California
1782,Colusa Casino,California
1783,Comedy Store,California
1784,Comedy Store La Jolla,California
1785,ComedySportz Los Angeles,California
1786,Comfort Inn Gaslamp/ Convention Center,California
1787,Comfort Inn Monterey by the Sea,California
1788,Comfort Inn Monterey Peninsula Airport,California
1789,Comfort Inn Santa Cruz,California
1790,Commerce Casino in Los Angeles,California
1791,Commercial Row and Jibboom Street,California
1792,Commercial Street,California
1793,Computer History Museum,California
1794,Concourse Exhibition Center,California
1795,Conservatory of Flowers,California
1796,Contemporary Jewish Museum of San Francisco,California
1797,Continental Building,California
1798,Continental Inn,California
1799,Convict Lake,California
1800,Cook's Corner,California
1801,Cooper-Molera Adobe,California
1802,Corbin Recreation Center,California
1803,"CordeValle, A Rosewood Resort",California
1804,Cornerstone Festival of Gardens,California
1805,Corona Heights,California
1806,Coronado Beach Resort,California
1807,"Coronado Beach, San Diego, California - San Diego, CA -Big Crowds Visit Biggest Beach on Peninsula Just Outside of Downtown",California
1808,Coronado Bridge,California
1809,Coronado Butterfly Preserve,California
1810,Coronado Island,California
1811,Coronado Municipal Beach,California
1812,Coronado Museum of History and Art,California
1813,Coronado Visitor Center,California
1814,Corral State Beach,California
1815,Cosentino Winery Yountville,California
1816,Cottage Inn by the Sea,California
1817,Cottonwood,California
1818,Cottonwood Visitor Center,California
1819,Country Club Lanes,California
1820,Court Street,California
1821,Courtyard by Marriott Fisherman's Wharf,California
1822,Courtyard by Marriott Los Angeles Marina del Rey,California
1823,Courtyard by Marriott Los Angeles Old Pasadena,California
1824,Courtyard by Marriott San Diego Airport/Liberty Station,California
1825,Courtyard by Marriott San Diego Downtown,California
1826,Courtyard by Marriott San Luis Obispo,California
1827,Courtyard Los Angeles Century City/ Beverly Hills,California
1828,Courtyard Los Angeles LAX/Century Boulevard,California
1829,Courtyard Los Angeles Sherman Oaks,California
1830,Courtyard Marriot by Marriott Los Angeles Burbank Airport,California
1831,Courtyard San Francisco Downtown,California
1832,Cow Hollow,California
1833,Cow Mountain Recreation Area,California
1834,Cow Palace,California
1835,Cowell Ranch State Park,California
1836,Cowell's Beach,California
1837,Coyote Creek Parkway,California
1838,Coyote Hills Regional Park,California
1839,Coyote Point Museum,California
1840,"Coyote Point Museum in San Mateo, California",California
1841,Coyote Point Recreation Area,California
1842,Coyote Ridge Stable,California
1843,Craft & Folk Art Museum,California
1844,Crescent Bay Point Park,California
1845,Crescent Meadow Loop,California
1846,Crest Theater,California
1847,Crissy Field,California
1848,Crocker Art Museum,California
1849,Crossroads of the World,California
1850,Crowley Lake,California
1851,Crown Valley Community Park,California
1852,Crowne Plaza Beverly Hills,California
1853,Crowne Plaza Palo Alto,California
1854,Crowne Plaza San Jose Downtown,California
1855,Crowne Plaza Ventura Beach,California
1856,Cruz Carz Scooter Coupe Rentalz and GPS Tours,California
1857,Crystal Cave,California
1858,Crystal Cove State Park,California
1859,Crystal Pier Hotel & Cottages,California
1860,Culver Ice Rink,California
1861,Curtis Park,California
1862,Cuyamaca Mountains,California
1863,Cypress Hotel,California
1864,Cypress Inn,California
1865,Cypress Lawn Memorial Park,California
1866,D'Anbino Vineyards & Cellars,California
1867,D.L. Bliss State Park,California
1868,Daley Ranch,California
1869,Dana Point Harbor,California
1870,Dante's View,California
1871,David Minkin's Evening of Enchantment,California
1872,Davis Campus of the University of California,California
1873,Davis Greenbelt,California
1874,Daylight Pass,California
1875,Daylight Pass,California
1876,De Saisset Museum,California
1877,De Young Museum,California
1878,Deaf West Theatre,California
1879,Deep,California
1880,Deep Creek Hot Springs,California
1881,Deer Haven Inn and Suites,California
1882,Defenestration Building,California
1883,Del Dotto Vineyards & Winery,California
1884,Del Mar City Beach,California
1885,Del Mar Race Track,California
1886,Demuth Park,California
1887,Dennis the Menace Park,California
1888,Denver Dan's,California
1889,Department of Water and Power Building,California
1890,Descanso Gardens,California
1891,Desert Dunes Golf Club,California
1892,Desert Garden,California
1893,Desert Memorial Park,California
1894,Desert Palms Hotel & Suites,California
1895,Desert Queen Ranch,California
1896,Desert Springs JW Marriott Resort and Spa,California
1897,Desert Studies Center,California
1898,Desert Willow Golf Resort,California
1899,Design Museum of UC Davis,California
1900,Devereaux Slough,California
1901,Devil's Golf Course,California
1902,Devil's Postpile National Monument,California
1903,Devils Postpile National Monument in California is a Unique Geologic Attraction,California
1904,Diamond Head Inn,California
1905,Diamond Valley Lake,California
1906,Dinosaurs of Spanishtown,California
1907,Discovery Museum Gold Rush History Center,California
1908,Discovery Museum Science and Space Center,California
1909,Discovery Science Center,California
1910,Disney's California Adventure,California
1911,Disney's Grand California Hotel,California
1912,Disney's Paradise Pier Hotel,California
1913,Disneyland,California
1914,Disneyland Hotel,California
1915,Diversionary Theatre,California
1916,Dixon Lake,California
1917,Doc Rickett's Pacific Biological Laboratories,California
1918,Dockweiler State Beach,California
1919,Dodge Ridge,California
1920,Dodger Stadium,California
1921,Doe Flat Trail,California
1922,Dog Beach,California
1923,Doggie Diner,California
1924,Doheny Mansion and Chester Place,California
1925,Doheny State Park,California
1926,Dolores Heights,California
1927,Dolphin Bay Resort & Spa,California
1928,Dolphin's Cove Resort,California
1929,Domaine Carneros,California
1930,"Domaine Chandon, Yountville",California
1931,"Don Dahvee Park, Monterey",California
1932,Don Edwards San Francisco Bay Wildlife Refuge,California
1933,Don Pedro Reservoir,California
1934,Donald Douglas Museum and Library,California
1935,Donner Lake,California
1936,Donner Memorial State Park and Emigrant Trail Museum,California
1937,Donner Ski Ranch,California
1938,Doral Desert Princess Resort Palm Springs,California
1939,Double Eagle Resort and Spa,California
1940,Doubletree Guest Suites Doheny Beach Dana Point,California
1941,Doubletree Guest Suites Santa Monica,California
1942,Doubletree Hotel San Diego Downtown,California
1943,Doubletree Hotel San Jose,California
1944,Doubletree Hotel Sonoma Wine Country,California
1945,Downey History Center,California
1946,Downey Museum of Art,California
1947,Downtown Long Beach,California
1948,Downtown San Diego,California
1949,Dragon Golf Course at Nakoma Resort,California
1950,Drakes Estero,California
1951,Dream Inn-A Joie de Vivre Hotel,California
1952,Dromo One,California
1953,Drum Barracks Civil War Museum,California
1954,Dry Meadow Creek,California
1955,Duchamp Hotel,California
1956,Duckhorn Wine Company,California
1957,Duldzin Dragpa Buddhist Center,California
1958,Dunbar Hotel,California
1959,Dunes Beach,California
1960,Dunsmuir House,California
1961,Eagle and High Peak Mine,California
1962,Eagle Castle Winery,California
1963,Eagle Falls,California
1964,Eagle Falls Golf Course,California
1965,Eagle Falls Trail,California
1966,Eagle Mountain Resort,California
1967,Eagle Paragliding School,California
1968,Eagle Rafting,California
1969,Eagle Ridge Snowmobile Outfitters,California
1970,Eagle Rock,California
1971,Eames House,California
1972,Earl Burns Miller Japanese Garden,California
1973,East 4th Street,California
1974,East Anacapa Loop Trail,California
1975,East Bay,California
1976,East Bay Regional Park District,California
1977,Eastridge Shopping Center,California
1978,Eastside Reservoir Project,California
1979,Eaton Canyon,California
1980,Eaton Canyon Natural Area,California
1981,Eberle Winery,California
1982,Eccentrics of San Francisco's Barbary Coast,California
1983,Echo Lakes Hiking Trail,California
1984,Echo Park,California
1985,Ecology Trail,California
1986,Edward Sellers,California
1987,Egyptian Theatre,California
1988,El Alisal,California
1989,El Capitan,California
1990,El Capitan Lake,California
1991,El Capitan Theatre,California
1992,El Chorro Regional Park,California
1993,El Cordova Hotel,California
1994,El Corte de Madera,California
1995,El Dorado County Chamber of Commerce,California
1996,El Dorado County Museum,California
1997,El Dorado Hotel & Kitchen,California
1998,El Granada Beach,California
1999,El Matador Beach,California
2000,El Morocco Inn & Spa,California
2001,El Pakiva Cavern,California
2002,El Paseo Shopping District,California
2003,El Pescador State Beach,California
2004,El Prado,California
2005,El Presidio de Santa Barbara State Historic Park,California
2006,El Pueblo de Los Angeles,California
2007,El Pueblo Inn,California
2008,El Rey Theater,California
2009,Elan Hotel Los Angeles,California
2010,Eldorado National Forest,California
2011,Electric Bike Tour over the Golden Gate,California
2012,Elings Park,California
2013,Elizabeth F. Gamble Garden,California
2014,Elizabeth Spencer Wines,California
2015,Elkhorn Slough National Estuarine Research Reserve,California
2016,Ellen Browning Scripps Park,California
2017,Elverhoj Museum,California
2018,Elysian Park,California
2019,Embarcadero,California
2020,Embarcadero Bay Bicycle Trail,California
2021,Embarcadero Branch YMCA,California
2022,Embarcadero Center,California
2023,Embarcadero Center SkyDeck,California
2024,Embassy Hotel Apartments,California
2025,Embassy Suites Hotel Mandalay Beach Resort,California
2026,Embassy Suites Hotel Monterey Bay-Seaside,California
2027,Embassy Suites Hotel Napa Valley,California
2028,Embassy Suites Hotel Palm Desert Resort,California
2029,Embassy Suites Hotel Sacramento-Riverfront Promenade,California
2030,Embassy Suites Hotel San Diego Bay- Downtown,California
2031,Embassy Suites Hotel San Luis Obispo,California
2032,Embassy Suites Hotel San Rafael - Marin County / Conference Center,California
2033,Embassy Suites Lake Tahoe Resort,California
2034,Embassy Suites San Diego- La Jolla,California
2035,Emerald Bay State Park,California
2036,Emerald Bay State Park,California
2037,Emeryville Marina,California
2038,Emma Prusch Farm Park,California
2039,Empire Mine State Historic Park,California
2040,Empress Hotel of La Jolla,California
2041,Empty Stage Comedy Theatre,California
2042,End of the Trail Museum,California
2043,EOS Estate Winery at Arciero Vineyards,California
2044,Ernie Wolfe Gallery,California
2045,Escena Golf Club,California
2046,Escondido Children's Museum,California
2047,Esplanade,California
2048,"Estancia La Jolla Hotel and Spa, CA",California
2049,Estate Sale Co,California
2050,Eugene O'Neill National Historic Site-Tao House,California
2051,Eureka Dunes,California
2052,"Evelyn's Antique Chinese Furniture, Inc",California
2053,Executive Hotel Vintage Court,California
2054,Exposition Park,California
2055,Fairmont Heritage Place,California
2056,Fairmont Miramar Hotel & Bungalows,California
2057,Fairmont Miramar Hotel,California
2058,Fairmont Newport Beach,California
2059,Fairmont Sonoma Mission Inn & Spa,California
2060,Fairmont Sonoma Mission Inn Spa,California
2061,Fairview Dome,California
2062,Fairview Gardens,California
2063,Fairyland,California
2064,"Fairytale Town in Sacramento, California a Child's Delight",California
2065,Falkner Winery,California
2066,Family Golf Center of Palm Desert,California
2067,Fantastic Lava Beds,California
2068,Fantasy Inn,California
2069,Fantasy Springs Casino,California
2070,Fantasy Springs Resort Casino,California
2071,Far Niente Winery,California
2072,Farmer John's Murals at the Clougherty Packing Company,California
2073,Farmer's Daughter Hotel,California
2074,Farmer's Markets in Napa,California
2075,Farmers Market,California
2076,Fashion Island,California
2077,Fashion Valley Shopping Center,California
2078,Faulkner Farm,California
2079,Feather Falls Casino,California
2080,Fern Falls,California
2081,Ferndale Museum,California
2082,Ferrara Winery,California
2083,Ferrari-Carano Winery,California
2084,Ferry Building Marketplace,California
2085,Ferry Landing Marketplace,California
2086,Ferry Plaza Farmer's Market,California
2087,Fess Parker's DoubleTree Resort,California
2088,Fess Parker's Wine Country Inn and Spa,California
2089,Filbert Steps,California
2090,Fillmore Street,California
2091,Filoli Center,California
2092,Finding San Francisco: A Scavenger Tour,California
2093,Fine Arts Building,California
2094,Fire House Museum,California
2095,Firehouse Number 2,California
2096,Firestone Vineyard,California
2097,Fisherman's Landing,California
2098,Fisherman's Market,California
2099,Fisherman's Village,California
2100,Fisherman's Wharf,California
2101,"Fisherman's Wharf On Monterey Harbor In San Fransisco, California",California
2102,Fitzpatrick Winery and Lodge,California
2103,Five Brooks Stables,California
2104,Flamingo Conference Resort and Spa,California
2105,Flightdeck Air Combat Center,California
2106,Flora Springs,California
2107,Flower Market,California
2108,FogCatcher Inn,California
2109,Folsom Dam and Powerhouse,California
2110,Folsom Historical Museum,California
2111,Folsom Lake State Recreation Area,California
2112,Folsom Prison Museum,California
2113,Folsom Valley Railway,California
2114,Foothill Farmer's Market,California
2115,Ford House Museum,California
2116,Fordyce Orchids,California
2117,Forest Lawn Memorial Park,California
2118,Forest Lawn Memorial Park Hollywood Hills,California
2119,Forest Lawn Museum of Mexican and American History,California
2120,Forest Service Visitor Center,California
2121,Forest Suites Resort,California
2122,Forestiere Underground Gardens,California
2123,Former Site of Schwab's Pharmacy,California
2124,Fort Funston,California
2125,Fort Mason,California
2126,Fort Mason Center,California
2127,Fort McArthur Military Museum,California
2128,Fort Piute,California
2129,Fort Rosecrans Cemetery,California
2130,Fort Ross State Historic Park,California
2131,Fortune Cookie Factory,California
2132,Fossil Canyon,California
2133,Fountaingrove Inn,California
2134,"Four Points by Sheraton (Hotel Montgomery) - San Jose, California Historic Downtown Boutique Hotel",California
2135,Four Points by Sheraton San Jose Downtown,California
2136,Four Seasons Hotel,California
2137,Four Seasons Hotel Los Angeles at Beverly Hills,California
2138,Four Seasons Hotel Silicon Valley at East Palo Alto,California
2139,Four Seasons Hotel Westlake Village,California
2140,Four Seasons Resort Aviara,California
2141,"Four Seasons Resort, The Biltmore",California
2142,Fourth Street,California
2143,Foxen Canyon Wine Trail,California
2144,Foxen Vineyard,California
2145,Francis Lefty O'Doul Bridge,California
2146,Francis Beach,California
2147,Francisco Bay Inn,California
2148,Franklin D. Murphy Sculpture Garden,California
2149,Frasinetti's Winery,California
2150,Fred Segal,California
2151,Frederick's of Hollywood Lingerie Hall of Fame,California
2152,Frederick's of Hollywood Lingerie Museum,California
2153,Freedom Advanced Outdoor Programs,California
2154,FreeFlight,California
2155,Freeman House,California
2156,Fremont Peak Observatory,California
2157,Fremont Peak State Park,California
2158,Fremont Theater,California
2159,French Trail Connector,California
2160,Freshwater Lagoon,California
2161,Fresno Art Museum,California
2162,"Fresno Chaffee Zoo in Fresno, California",California
2163,Fresno Convention and Entertainment Center,California
2164,Frog's Leap Winery,California
2165,Frolic Room,California
2166,Funderland,California
2167,Funeral Mountains,California
2168,Funeral Mountains Death Valley National Park,California
2169,Furnace Creek Inn and Ranch Resort,California
2170,G2 Gallery,California
2171,Gage Bowl,California
2172,Gainey Vineyard,California
2173,"Galleria Park, a Joie de Vivre hotel",California
2174,Gallo Center for the Arts,California
2175,Garden Valley Ranch,California
2176,Gardenia Club,California
2177,Gardens of the World,California
2178,Garin Regional Park,California
2179,Garment District,California
2180,Garnet Avenue,California
2181,Garrapata Beach,California
2182,Garrapata State Park,California
2183,Garre Vineyard & Winery,California
2184,Garrod Farms Riding Stables,California
2185,Gary Farrell Winery,California
2186,Gaslamp Plaza Suites,California
2187,Gaslamp Quarter,California
2188,Gatekeeper's Museum,California
2189,Gaylor Lakes,California
2190,Gehry House,California
2191,Gekkeikan Sake,California
2192,General Grant Tree Trail,California
2193,General M.G. Vallejo Home,California
2194,General Phineas Banning Residence Museum,California
2195,General Sherman Tree,California
2196,Generals Highway,California
2197,Geologist's Cabin,California
2198,Geology Tour,California
2199,Georgia Pacific Museum,California
2200,Getty House,California
2201,Getty Villa,California
2202,Ghirardelli Chocolate Manufactory & Caffe,California
2203,Ghirardelli Square,California
2204,Ghost Town of Schwab,California
2205,Ghost Town of Schwab,California
2206,Ghostly Tours in History,California
2207,Giant Dipper Roller Coaster,California
2208,Giant Forest,California
2209,Giant Forest Museum,California
2210,Gilroy Gardens,California
2211,Gilroy Gardens Family Theme Park,California
2212,Girard Avenue and Prospect Street,California
2213,GIRLteams Adventure Training,California
2214,Glacier Point,California
2215,Glass Beach,California
2216,Glass Church / Wayfarers Chapel,California
2217,Glen Ellen Village Market,California
2218,Glendale Centre Theatre,California
2219,Glendale Federal Savings Building,California
2220,Glenmore Plaza Hotel,California
2221,Glenn E. Vedder Ecological Reserve - Underwater Park and Tidepools,California
2222,Glide Memorial United Methodist Church,California
2223,Gloria Ferrer Champagne Caves,California
2224,Glorietta Bay Inn,California
2225,Gold Bluffs Beach,California
2226,Gold Class Cinema,California
2227,Gold Country,California
2228,Gold Country Casino,California
2229,Gold Dust Falls,California
2230,Gold Rush City,California
2231,Goldbud Farms,California
2232,Golden Canyon,California
2233,Golden Gate Bridge,California
2234,Golden Gate National Recreation Area an Urban Oasis,California
2235,Golden Gate Park,California
2236,Golden Gate Promenade,California
2237,Golden Horizon tours,California
2238,Golden State Theatre,California
2239,Goleta County Beach,California
2240,Goleta Point,California
2241,Golf Club at Whitehawk Ranch,California
2242,Goosecross Cellars,California
2243,Gordon Biersch,California
2244,Gourmet Detective,California
2245,Graber Olive House,California
2246,Grace Cathedral,California
2247,Grand Hope Park,California
2248,Grand Hyatt San Francisco,California
2249,Grand Island Mansion,California
2250,Grand Island Shrine,California
2251,Grand Pacheco Stairway,California
2252,Grand Pacific Palisades Resort and Hotel,California
2253,Grandpa's Cellar,California
2254,Granite Bay Beach,California
2255,Granite Chief,California
2256,Granlibakken Resort,California
2257,Granlibakken Ski Area,California
2258,Grant Grove,California
2259,Grant Grove,California
2260,Grant Grove Visitor Center,California
2261,Grass Valley Museum,California
2262,Grass Valley-Nevada County Chamber of Commerce,California
2263,Grateful Dead House,California
2264,"Grauman's Chinese Theater in Los Angeles, California: A Film Landmark Not To Be Missed",California
2265,Grauman's Chinese Theatre,California
2266,Gray Whale Cove State Beach,California
2267,Great American Melodrama and Vaudeville,California
2268,Greenwich Steps,California
2269,Grgich Hills Cellar,California
2270,Grier Musser Museum,California
2271,Griffith Park,California
2272,Griffith Park Horse Rentals,California
2273,Groundling Theater,California
2274,Grover Hot Springs State Park,California
2275,Groves Cabin Theatre,California
2276,Guadalupe River Park,California
2277,Guajome County Park,California
2278,Gualala Point Regional Park,California
2279,Gualala River,California
2280,Guinness World of Records Exhibition,California
2281,Gull Wings Children's Museum,California
2282,Gundlach Bundschu Winery,California
2283,Hadsten House,California
2284,Half Dome,California
2285,Half Moon Lake,California
2286,Hamilton Cove,California
2287,Hampton Inn & Suites Tahoe - Truckee,California
2288,Hampton Inn and Suites Crescent City,California
2289,Hampton Inn and Suites Paso Robles,California
2290,Hampton Inn Santa Barbara/Goleta,California
2291,Hampton Inn Santa Cruz,California
2292,Handlery Union Square Hotel,California
2293,"Happy Hollow Park and Zoo in San Jose, California",California
2294,Harbor Court Hotel - a Kimpton Hotel,California
2295,Harbor View Inn,California
2296,Hard Rock Hotel San Diego,California
2297,Harmony Borax Works,California
2298,Harrah's Rincon Casino & Resort,California
2299,Harvest Inn,California
2300,Hattie Weber Museum,California
2301,Hayward Fault Exposed,California
2302,Henry Cowell Redwoods State Park,California
2303,Heritage Square Museum,California
2304,Highlands Inn Hyatt Carmel,California
2305,Hillcrest,California
2306,Hills of Eternity Memorial Park,California
2307,Hilton Anaheim,California
2308,Hilton Checkers Los Angeles,California
2309,Hilton Garden Inn Carlsbad Beach,California
2310,Hilton Garden Inn Monterey,California
2311,Hilton Garden Inn Napa,California
2312,Hilton La Jolla Torrey Pines,California
2313,Hilton Los Angeles/ University City,California
2314,Hilton Pasadena,California
2315,Hilton San Diego Bayfront,California
2316,Hilton San Diego Gaslamp Quarter,California
2317,Hilton San Diego Resort & Spa,California
2318,Hilton San Francisco Financial District,California
2319,Hilton San Francisco Union Square,California
2320,Hilton Santa Cruz / Scotts Valley,California
2321,Hilton Waterfront Beach Resort,California
2322,Himalaya Mine,California
2323,Historic Bridgeport Covered Bridge,California
2324,Historic Theater District,California
2325,History Center and Museum of San Luis Obispo County,California
2326,History Museum of San Jose,California
2327,HMCS Yukon,California
2328,Holbrooke Hotel,California
2329,Hole in the Wall,California
2330,Holiday Inn Burbank,California
2331,Holiday Inn Civic Center (San Francisco),California
2332,Holiday Inn Express & Suites,California
2333,Holiday Inn Express Hotel & Suites Hollywood Walk of Fame,California
2334,Holiday Inn Express Hotel & Suites San Francisco Fisherman's Wharf,California
2335,Holiday Inn Express Hotel Virginia Santa Barbara,California
2336,Holiday Inn Express Monterey,California
2337,Holiday Inn Express Mountain View (Town Center),California
2338,Holiday Inn Express San Luis Obispo,California
2339,Holiday Inn Express Santa Cruz East,California
2340,Holiday Inn Express West Los Angeles,California
2341,Holiday Inn Laguna Beach,California
2342,Holiday Inn Sacramento-Capitol Plaza,California
2343,Holiday Inn San Francisco Golden Gateway,California
2344,Holiday Inn Santa Monica Beach at the Pier,California
2345,Hollister Hills State Vehicular Recreation Area,California
2346,Hollyhock House,California
2347,Hollywood Bowl Museum,California
2348,Hollywood Bowl Overlook,California
2349,Hollywood Entertainment Museum,California
2350,Hollywood Forever Cemetery,California
2351,Hollywood Heights Hotel,California
2352,Hollywood Heritage Museum,California
2353,Hollywood Hills,California
2354,Hollywood Murals-You Are the Star,California
2355,Hollywood Museum,California
2356,Hollywood Reservoir,California
2357,Hollywood Roosevelt Hotel,California
2358,Hollywood Sign,California
2359,Hollywood Wax Museum,California
2360,Holmby Park,California
2361,Holy Virgin Cathedral,California
2362,Holyland Exhibition,California
2363,Home of Cabot Yerxa,California
2364,Homewood Mountain Resort,California
2365,Homewood Suites Anaheim-Main Gate Area,California
2366,Homewood Suites San Diego,California
2367,Homewood Suites San Diego Airport,California
2368,"Honda Center Anaheim, California",California
2369,"Honor Mansion, A Resort Inn",California
2370,Hoover Tower,California
2371,Hop Kiln Winery,California
2372,Horse and Barrel,California
2373,Horseshoe Cove,California
2374,Hortense Miller Garden,California
2375,Hot Creek,California
2376,Hot Creek Fish Hatchery,California
2377,Hotel Abrego,California
2378,"Hotel Abri - Union Square, A Larkspur Collection Hotel",California
2379,Hotel Adagio,California
2380,Hotel Amarano Burbank,California
2381,"Hotel Angeleno, a Joie de Vivre hotel",California
2382,Hotel Avante,California
2383,Hotel Bel-Air,California
2384,Hotel Boheme,California
2385,Hotel California,California
2386,Hotel Cheval,California
2387,Hotel Corque,California
2388,Hotel De Anza,California
2389,Hotel del Coronado,California
2390,Hotel Diva,California
2391,"Hotel Drisco, A Joie de Vivre Hotel",California
2392,Hotel Erwin,California
2393,Hotel Frank,California
2394,Hotel Griffon,California
2395,Hotel Healdsburg,California
2396,Hotel Indigo San Diego Gaslamp Quarter,California
2397,"Hotel Kabuki, a Joie de Vivre hotel",California
2398,Hotel La Jolla at the Shores,California
2399,Hotel La Jolla at the Shores,California
2400,Hotel Los Gatos,California
2401,Hotel Mar Monte,California
2402,Hotel Maya,California
2403,Hotel Metropole,California
2404,Hotel Milano,California
2405,Hotel Monaco San Francisco- a Kimpton Hotel,California
2406,Hotel Nikko San Francisco,California
2407,Hotel Oceana Santa Barbara,California
2408,Hotel Oceana Santa Monica,California
2409,Hotel Pacific,California
2410,Hotel Palomar Los Angeles,California
2411,Hotel Palomar San Francisco a Kimpton Hotel,California
2412,Hotel Parisi,California
2413,Hotel PURE Beach Inn,California
2414,"Hotel Rex, a Joie de Vivre hotel",California
2415,Hotel Santa Barbara,California
2416,Hotel Seven4One,California
2417,Hotel Shangri-La Santa Monica,California
2418,Hotel Shattuck Plaza,California
2419,Hotel Solamar,California
2420,Hotel Triton- a Kimpton Hotel,California
2421,Hotel Union Square,California
